date,ticker,median_ret,p05,mad_z
2016-03-31,BKNG,2.0981166052927502,1.0274084954595932,11.137911930511738
2016-03-31,PNW,1.8328425979248142,-0.7569830154505827,9.848433884428237
2016-03-31,LRCX,1.2383860598875822,0.6733874583561538,6.958823014688481
2016-03-31,NRG,1.1454298362387767,0.6943904481094934,6.506969435699458
2016-03-31,ED,1.057675737615443,0.9800598073046557,6.080403015749817
2017-08-31,ES,1.8012947636795067,-0.7966642652512469,11.73311478514636
2017-08-31,NRG,1.7403903391335056,-0.5378640196386291,11.379818663687923
2017-08-31,LRCX,1.246513456228419,0.36683137836335583,8.514923567658224
2018-06-30,LRCX,1.7547399120263942,0.15571969988092085,11.528569101262814
2018-06-30,NDAQ,0.8116617612843405,-0.3122237097498358,6.046516352749417
2020-06-30,TFC,5.319972520256495,4.69170614947343,27.940436479593348
2022-01-31,SRE,1.4054449888021627,-0.6824803895303935,9.057163794361793
2022-01-31,TECH,1.3108285956190338,-0.8062052239773837,8.540998894045966
2022-01-31,GOOGL,1.2291977728128092,-0.08318191424509622,8.095674737217012
2022-01-31,GOOG,1.2190757396339906,-0.1620702224521419,8.040455572007172
