date,ticker,price,rps,re_q,pb_min,pb_max,be0,beT,beT/be0,dri,tv,tv_exc,num,den,tv_share,be_share,branch(+1=minpb),num/price
2016-03-31,BKNG,51.55839920043945,32.23743718439067,0.004204773832260084,0.32794880590998393,0.6744826532129342,189.30936036972076,1011.2130231905924,5.341590195094926,374.77746136224266,1970.9947723546084,936.8347559735292,1533.17864273638,51.55839920043945,0.611040833637944,0.1298651579613605,-1.0,29.736738659708273
2016-03-31,PNW,75.06999969482422,6.610804648782854,0.018244503117902728,1.2019739349056733,1.7306232596317794,46.91258743614139,143.41128133788578,3.0569893748261245,0.3135785716598499,1952.7531143319004,1784.2759354154673,1831.8652103632878,79.65410474898047,0.9740214101569281,0.03187702010366194,-1.0,24.402094282805596
2016-03-31,LRCX,8.260000228881836,8.990048433479643,0.012140747693483035,0.111187760132677,0.3025167609399694,36.57487879899351,61.84985284575737,1.6910473766890348,8.939720011252156,116.56564386561473,48.715664086954604,95.5444756495487,8.260000228881836,0.5098742104738812,0.44284243596474343,-1.0,11.56712748208757
2016-03-31,NRG,13.010000228881836,9.58337183709979,0.01322298671276561,0.4885433263126147,1.3660941773789388,17.09767491652842,66.77385796785416,3.90543499591886,-8.016734096549357,264.1736246884294,196.82608327665696,217.11025437253147,22.43732884893713,0.9065720264825924,0.0922929996170602,-1.0,16.687951618213873
2016-03-31,ED,76.62000274658203,123.1787115151846,0.01618445593903632,0.09921145848702198,1.573145400964078,504.05535591829135,335.8992663197395,0.6663936061304141,22.19184023136921,366.27544456963494,28.758317065263043,667.5334452528275,76.62000274658203,0.04308146246420786,0.9169613758001558,1.0,8.712260784702279
2017-08-31,ES,63.0,6.643197476360317,0.015044504372545134,1.3850464666288709,1.8079707192279075,38.97009297428977,112.04946843831453,2.8752681835334175,4.63072035891338,1465.8047980751558,1329.1814431757953,1384.896439322184,63.0,0.9597695578063168,0.0337069212233463,-1.0,21.98248316384419
2017-08-31,NRG,24.90999984741211,8.72878659666376,0.011688773339839042,0.5146394177508328,3.6373582995386777,6.856202628420878,34.878296276346575,5.087115735431488,-5.159875342141863,655.9761695765967,623.9642790171686,630.9344594580477,31.356262022054892,0.9889526077766202,0.012503046134907436,-1.0,25.32856135378882
2017-08-31,LRCX,16.597999572753906,13.136598991272741,0.016048288619686418,0.111187760132677,0.31198145764406193,48.087933125509494,143.21739240882525,2.978239718372339,22.994105026788006,268.25467523999555,110.55709569068205,191.06770118426397,16.597999572753906,0.5786278633459968,0.3051300855815829,-1.0,11.511489703729545
2018-06-30,LRCX,17.28499984741211,17.62410115783059,0.01840218360157096,0.16088203996131872,0.4900527185942246,48.29278655955979,156.65560079828475,3.24387164126635,27.18998856367743,443.44795570073376,266.3430224098893,361.33980002595786,17.28499984741211,0.737098493968159,0.1666748477736204,-1.0,20.90481939344982
2018-06-30,NDAQ,30.42333221435547,6.894420462323663,0.008098839302114585,0.2959196654426616,0.8380864656539664,36.77656581304822,61.723998635928055,1.6783513433445314,8.816389005401142,202.7051263975365,130.25224436286044,180.9001024439901,30.42333221435547,0.7200230547309328,0.22404731017190602,-1.0,5.946097592775557
2020-06-30,TFC,37.54999923706055,4.740025870878638,0.027375200585966916,0.6306446329803356,1.3703325512725972,66.23895443092074,1480.7820205403154,22.355153900935935,-21.9333138015971,19114.773060895564,17679.227214703467,17770.331649829175,68.01288450599515,0.9948732282029985,0.005177078116582312,-1.0,473.24452758684674
2022-01-31,SRE,69.08000183105469,8.300940438871473,0.017014119835479867,0.7275351813856974,1.1177771259967546,80.00265300052702,166.4281390235866,2.0802827504044177,2.901098942994298,1099.5818370872294,888.4190927352071,975.9526187863383,69.08000183105469,0.9103096560568842,0.10054148965841306,-1.0,14.12786034912353
2022-01-31,TECH,94.10250091552734,6.56223425642674,0.0068862245835439526,1.0449379165998458,2.9021214796787866,47.69181375493527,92.87599959582082,1.9474201604716652,13.409824846152702,1220.4549088879658,1096.2187263440605,1161.1943684562675,94.10250091552734,0.9440441291507572,0.044609433734981496,-1.0,12.339675961413956
2022-01-31,GOOGL,135.30349731445312,97.96865267902545,0.007441270920696133,0.19511567456205792,0.3633034204296023,422.1669394590634,904.2980658127306,2.142039040222898,297.25045193601545,1719.4515845915876,707.392532052452,1498.8413505677763,135.30349731445312,0.47195957850007575,0.3079704082725618,-1.0,11.077624601856245
2022-01-31,GOOG,135.69850158691406,97.96865267902545,0.007372651948555246,0.1918761176151814,0.36218778910609584,421.34677890543117,876.7725919252682,2.080881202421758,300.8697269151195,1711.528549090992,691.4617261965639,1482.8303931303303,135.69850158691406,0.4663120808691094,0.3104352458590336,-1.0,10.927389586395591
