,,B&H,"Proposed, max Sharpe","Proposed, CRRA","Proposed, CRRA, unconstrained"
Panel A: Performance,Annualised return (%),0.1662039347436656,0.1506566077463171,0.2618318354225535,0.4119520569732242
Panel A: Performance,Annualised volatility (%),0.1422743944988947,0.146408802477316,0.1730227564375681,0.2927668160029184
Panel A: Performance,Maximum drawdown (%),0.2584684042050543,0.2167493399995499,0.1953382982677428,0.2629310809355836
Panel A: Performance,Sharpe ratio,1.0239257727056243,0.9049782178929237,1.330736590304861,1.2675702188359548
Panel A: Performance,CRRA certainty equivalent (%),0.1155709251415275,0.1017539373073486,0.1891724019425729,0.2129928625880435
Panel A: Performance,Annualised turnover,2.9497010271635946,1.993069579874551,1.3136069031421511,3.8177756630197286
Panel A: Performance,Average effective N,22.00582437440232,33.62891638465878,21.87208953574241,1.9419964400164864
