,,Mean return,Sharpe ratio,CRRA CE
Panel A: Share of realisations with the larger value,Asset 1 higher (%),0.0,0.0053,0.0056
Panel A: Share of realisations with the larger value,Asset 2 higher (%),1.0,0.9947,0.9944
