,Equal-weight,EPO,PPP,Proposed (hist.),Proposed (fwd.)
Annualised return (%),0.1153169984563466,0.0740097726909754,0.1034873523088812,0.2972971872833692,0.3538666211363463
Annualised volatility (%),0.1643210392057024,0.1545468443312265,0.1826727315691975,0.3120827436860177,0.3078458176147476
Maximum drawdown (%),0.2735797423272375,0.2363458231156707,0.3378984623679114,0.3256738509651639,0.2896558521827268
Sharpe ratio,0.632189516096502,0.4158285918981909,0.5294696817861437,0.9315087739952213,1.0800938659415311
CRRA certainty equivalent (%),0.0532906486576645,0.0222117684621154,0.020342440657691,0.0807241620546261,0.1403701337560974
Annualised turnover,0.8536383355570167,9.27150447701015,5.212653505582226,1.4888288491782242,1.764302293174012
Average weight entropy,5.632925837720897,3.999877013487968,4.614938499102967,0.0336722761096249,0.1210864009633748
