,,EPO,PPP,Proposed (hist.),Proposed (ex post)
Panel A: Mean return,Difference,-0.037283089131260896,-0.007162365204978524,0.18682577569610032,0.22862034100151737
Panel A: Mean return,$t$-statistic,-1.4797313056591967,-0.4026969158910516,2.727635480911938,3.1930214085230397
Panel A: Mean return,Bootstrap $p$-value,0.1622,0.6878,0.0038,0.0004
Panel B: Sharpe ratio,Difference,-0.13886409602213812,-0.1027959993989461,0.3024426645743313,0.45069271453199805
Panel B: Sharpe ratio,$t$-statistic,-0.8960099885037394,-1.0407796106986065,1.159915646983798,1.6448047985263852
Panel B: Sharpe ratio,Bootstrap $p$-value,0.381,0.3058,0.269,0.1112
Panel C: CRRA certainty equivalent,Difference,-0.013830336494438544,-0.03294820799997389,0.02743351339696276,0.087079485098432
Panel C: CRRA certainty equivalent,$t$-statistic,-0.5311286003820002,-1.2689673278571618,0.36317586578986794,1.0467363452295297
Panel C: CRRA certainty equivalent,Bootstrap $p$-value,0.6012,0.2608,0.7228,0.3044
