date,net_exposure,gross_exposure,turnover,cost,n_holdings,effective_n,max_weight,entropy,unpriced_weight
2015-02-28,0.9999999999999973,0.9999999999999973,0.9999999999999973,0.0009999999999999974,85,39.763169883128135,0.0492135378897268,3.93189467751292,0.0
2015-03-31,0.9999999999999974,0.9999999999999974,0.0,0.0,85,39.17385559331942,0.0533183110504338,3.9239043220580796,0.0
2015-04-30,0.9999999999999949,0.9999999999999949,0.23339141746224906,0.00023339141746224907,101,50.27643772758964,0.041469568618222,4.176287104208693,0.0
2015-05-31,0.9999999999999949,0.9999999999999949,0.0,0.0,101,51.07951616473625,0.040403678267540134,4.183027544058473,0.0
2015-06-30,0.9999999999999951,0.9999999999999951,0.0,0.0,101,50.49506543011069,0.04320651908226299,4.1770575867806565,0.0
2015-07-31,0.9999999999999953,0.9999999999999953,0.1754472689184174,0.0001754472689184174,107,54.277971530494284,0.0398217547602645,4.249097511595858,0.0
2015-08-31,0.9999999999999956,0.9999999999999956,0.0,0.0,107,52.95966645920855,0.03893023898624102,4.235407100290674,0.0
2015-09-30,0.9999999999999951,0.9999999999999951,0.0,0.0,107,53.131727509758754,0.0381483747695567,4.237796365750503,0.0
2015-10-31,0.9999999999999944,0.9999999999999944,0.4283238766763023,0.0004283238766763023,136,70.40988624431803,0.0438043421849159,4.531571073886805,0.0
2015-11-30,0.9999999999999948,0.9999999999999948,0.0,0.0,136,69.1139833484048,0.04774708181933923,4.523362543052283,0.0
2015-12-31,0.9999999999999949,0.9999999999999949,0.0,0.0,136,71.57730947544815,0.04134693127042318,4.5371513253006555,0.0
2016-01-31,0.9999999999999951,0.9999999999999951,0.1770774253356633,0.0001770774253356633,130,62.453759643845075,0.0495403484938837,4.42702482371325,0.0
2016-02-29,0.9999999999999949,0.9999999999999949,0.0,0.0,130,63.02911271977801,0.04349629243246502,4.426780445311488,0.0
2016-03-31,0.9999999999999951,0.9999999999999951,0.0,0.0,130,61.757834738729244,0.049873969837760726,4.4180685558962445,0.0
2016-04-30,0.9999999999999962,0.9999999999999962,0.23066723814867354,0.00023066723814867354,122,57.480825389444476,0.0528303135026796,4.353227555361521,0.0
2016-05-31,0.9999999999999962,0.9999999999999962,0.0,0.0,122,56.42614588306663,0.05498275721265271,4.346614037264155,0.0
2016-06-30,0.9999999999999962,0.9999999999999962,0.0,0.0,122,57.62453779365525,0.051492111978963744,4.35579537145708,0.0
2016-07-31,0.9999999999999962,0.9999999999999962,0.30509431192571007,0.0003050943119257101,114,58.880119152177095,0.0361982649956869,4.32392728350489,0.0
2016-08-31,0.9999999999999963,0.9999999999999963,0.0,0.0,114,59.48814109668132,0.036193551881713824,4.330973292749491,0.0
2016-09-30,0.9999999999999963,0.9999999999999963,0.0,0.0,114,59.28789840269941,0.038824321113119856,4.330588286137616,0.0
2016-10-31,0.9999999999999959,0.9999999999999959,0.23949386275756493,0.00023949386275756495,133,67.62535590511696,0.0323041397624367,4.465518940217164,0.0
2016-11-30,0.999999999999996,0.999999999999996,0.0,0.0,133,66.56397792118858,0.03180543898618653,4.457129000570835,0.0
2016-12-31,0.9999999999999961,0.9999999999999961,0.0,0.0,133,67.02599972602927,0.031697031078414,4.4597433336712875,0.0
2017-01-31,0.999999999999994,0.999999999999994,0.2234315002319165,0.0002234315002319165,148,74.71757493238094,0.0290668904298464,4.567336928759563,0.0
2017-02-28,0.999999999999994,0.999999999999994,0.0,0.0,148,75.17422478458604,0.028197575272444448,4.568610759069371,0.0
2017-03-31,0.9999999999999942,0.9999999999999942,0.0,0.0,148,74.6963166488441,0.02813327001899062,4.564976520374271,0.0
2017-04-30,1.0000000000000009,1.0000000000000009,1.3378228132972165,0.0013378228132972165,19,13.043453511165126,0.1212666525015287,2.66640998896498,0.0
2017-05-31,1.000000000000001,1.000000000000001,0.0,0.0,19,13.130105773136457,0.11903456591700792,2.668119088604548,0.0
2017-06-30,1.0000000000000009,1.0000000000000009,0.0,0.0,19,13.247127411567218,0.11231534944625814,2.671363197549673,0.0
2017-07-31,1.0000000000000018,1.0000000000000018,0.20497174957392122,0.00020497174957392122,21,13.811769559526203,0.1164218882945149,2.748872871112714,0.0
2017-08-31,1.0000000000000016,1.0000000000000016,0.0,0.0,21,13.900848394752071,0.11855227299145801,2.7515611900913446,0.0
2017-09-30,1.0000000000000018,1.0000000000000018,0.0,0.0,21,13.851145123593252,0.11178427976204798,2.7468936615891844,0.0
2017-10-31,1.0000000000000013,1.0000000000000013,0.24487584124639677,0.00024487584124639674,19,13.615985248593569,0.1282665693261865,2.729843863219254,0.0
2017-11-30,1.0000000000000013,1.0000000000000013,0.0,0.0,19,13.470724527813013,0.13244990365458445,2.7265595734071795,0.0
2017-12-31,1.0000000000000013,1.0000000000000013,0.0,0.0,19,13.338590520332625,0.13978405494191562,2.7231758537016253,0.0
2018-01-31,1.0000000000000009,1.0000000000000009,0.5070028556434194,0.0005070028556434194,35,23.14672556862411,0.0640622683885024,3.2546953658472395,0.0
2018-02-28,1.0000000000000009,1.0000000000000009,0.0,0.0,35,22.956571641942297,0.06551178844252024,3.2495933674407107,0.0
2018-03-31,1.0000000000000009,1.0000000000000009,0.0,0.0,35,23.278304533191925,0.06573115232573852,3.2605245677447137,0.0
2018-04-30,1.0000000000000013,1.0000000000000013,0.4295414238447708,0.0004295414238447708,28,20.032738593578227,0.0733788462190859,3.107676230439993,0.0
2018-05-31,1.0000000000000013,1.0000000000000013,0.0,0.0,28,20.037129885162948,0.071938104965459,3.105880550068917,0.0
2018-06-30,1.0000000000000013,1.0000000000000013,0.0,0.0,28,20.367767023469778,0.0726718837843151,3.1167552595807955,0.0
2018-07-31,1.0000000000000004,1.0000000000000004,0.22627905705175044,0.00022627905705175042,31,22.77562013384699,0.062539955700411,3.2256872965348036,0.0
2018-08-31,1.0000000000000004,1.0000000000000004,0.0,0.0,31,22.791295997611808,0.06310834907840195,3.2277529366164357,0.0
2018-09-30,1.0000000000000002,1.0000000000000002,0.0,0.0,31,22.741256275063478,0.06394573625729515,3.225943272623882,0.0
2018-10-31,1.0000000000000009,1.0000000000000009,0.1534736501045799,0.0001534736501045799,31,22.58445854933361,0.0623901344827625,3.2133033446292973,0.0
2018-11-30,1.0000000000000009,1.0000000000000009,0.0,0.0,31,21.832690952303007,0.07132132780789086,3.1892534433458746,0.0
2018-12-31,1.0000000000000009,1.0000000000000009,0.0,0.0,31,21.781319562652424,0.07234206552457212,3.186739427404424,0.0
2019-01-31,1.0000000000000018,1.0000000000000018,0.4090165611819372,0.0004090165611819372,21,15.78844962669119,0.0852835577303441,2.836410253859052,0.0
2019-02-28,1.0000000000000018,1.0000000000000018,0.0,0.0,21,15.720147867132383,0.08930509128973874,2.8339474215234204,0.0
2019-03-31,1.0000000000000016,1.0000000000000016,0.0,0.0,21,15.835007414168032,0.08678193848552299,2.838201674861387,0.0
2019-04-30,1.0000000000000013,1.0000000000000013,0.2345897590728955,0.0002345897590728955,25,18.33063905656872,0.0750847365068623,2.99521451824285,0.0
2019-05-31,1.000000000000001,1.000000000000001,0.0,0.0,25,18.371380857418526,0.06969353670158955,2.996180379468664,0.0
2019-06-30,1.0000000000000013,1.0000000000000013,0.0,0.0,25,18.058298932829462,0.07298024796636696,2.982992938346575,0.0
2019-07-31,1.0000000000000016,1.0000000000000016,0.19229672613177617,0.00019229672613177618,25,17.86902885084537,0.0859929971374548,2.987465944446722,0.0
2019-08-31,1.0000000000000013,1.0000000000000013,0.0,0.0,25,17.624149311760526,0.09584139202683037,2.979786838776537,0.0
2019-09-30,1.0000000000000013,1.0000000000000013,0.0,0.0,25,17.501537594331946,0.09709439717013559,2.9759793974828463,0.0
2019-10-31,1.0000000000000016,1.0000000000000016,0.2181856485676157,0.00021818564856761568,28,19.04902999892899,0.0794816090799339,3.0643129698256772,0.0
2019-11-30,1.0000000000000018,1.0000000000000018,0.0,0.0,28,19.264914374509164,0.07615072007814723,3.0711999097653697,0.0
2019-12-31,1.0000000000000016,1.0000000000000016,0.0,0.0,28,19.403486252871915,0.07712428343377022,3.077227440622923,0.0
2020-01-31,1.0000000000000013,1.0000000000000013,0.14878592444550182,0.00014878592444550183,30,18.536168987095266,0.0820314392464327,3.040720763489041,0.0
2020-02-29,1.0000000000000013,1.0000000000000013,0.0,0.0,30,18.34156505607001,0.0753629600104271,3.029992644365202,0.0
2020-03-31,1.0000000000000013,1.0000000000000013,0.0,0.0,30,18.16253410869686,0.08192368714651255,3.02098114429561,0.0
2020-04-30,1.0000000000000024,1.0000000000000024,0.5029983150330214,0.0005029983150330214,17,11.332787650387692,0.1283022646519763,2.5505162764069955,0.0
2020-05-31,1.0000000000000022,1.0000000000000022,0.0,0.0,17,11.513718147818272,0.135656265348629,2.5621205928164104,0.0
2020-06-30,1.000000000000002,1.000000000000002,0.0,0.0,17,11.46939035123405,0.14043085996575397,2.557271682389794,0.0
2020-07-31,1.0000000000000022,1.0000000000000022,0.42391576198889874,0.00042391576198889876,14,9.378305254871936,0.1854938092325156,2.3884454655848217,0.0
2020-08-31,1.000000000000002,1.000000000000002,0.0,0.0,14,9.140855959186762,0.18539142752552631,2.371340580932595,0.0
2020-09-30,1.000000000000002,1.000000000000002,0.0,0.0,14,8.920229193963333,0.20310926357732753,2.3611106499853163,0.0
2020-10-31,1.0000000000000027,1.0000000000000027,0.41071403317851557,0.0004107140331785156,12,8.841320128139602,0.1691541813733745,2.287124654632919,0.0
2020-11-30,1.0000000000000027,1.0000000000000027,0.0,0.0,12,8.839416807509322,0.16700128268674336,2.285570481408178,0.0
2020-12-31,1.0000000000000024,1.0000000000000024,0.0,0.0,12,8.51257543591662,0.19703371995441504,2.267677186011669,0.0
2021-01-31,1.0000000000000022,1.0000000000000022,0.2720655921681093,0.0002720655921681093,12,7.638211684427946,0.1799318771855398,2.1607594238839787,0.0
2021-02-28,1.000000000000002,1.000000000000002,0.0,0.0,12,7.625998912130439,0.18326150635104999,2.157566764986199,0.0
2021-03-31,1.000000000000002,1.000000000000002,0.0,0.0,12,7.6360676076997125,0.19779927980108297,2.163096356064874,0.0
2021-04-30,1.0000000000000024,1.0000000000000024,0.292664523550609,0.000292664523550609,14,9.245072231633253,0.1592464122802912,2.3559799071890843,0.0
