date,equal_weight,epo,ppp,icc_mvo_ex_post,proposed_historical,proposed_ex_post,proposed_historical_epo_n,proposed_historical_ppp_n,proposed_ex_post_msr_icc_n,proposed_ex_post_icc_n,proposed_ex_post_msr
2015-02-28,1.0563663435047725,1.015122069267917,1.063437893963116,1.027955192541639,1.1472354940038396,1.0574688833308499,1.0499300757933279,1.049609704383742,1.0423994420015354,1.066796342148192,1.0425165931203018
2015-03-31,1.042954925033249,1.0057866148925814,1.0455818305849054,1.0281722107797726,1.232810752697106,1.0487337270040855,1.0270131969149698,1.026763168266052,1.033131897757257,1.060060393402101,1.0323145648413576
2015-04-30,1.0485436048041845,0.9722127981499812,1.1004560539560386,1.0006837249681115,1.2014132468286938,1.0125632582824675,1.030375726812268,1.033926680434394,1.022698983290757,1.0437714324864689,1.019745997597412
2015-05-31,1.059023042207913,1.003019548806826,1.0996934551096118,1.0184999509287125,1.300346165100701,1.0265664374373766,1.0423831296712325,1.0493702392157789,1.0373319443419644,1.0608195552627273,1.0334509210968064
2015-06-30,1.0390113200634172,0.9841192973218238,1.0879835933155846,1.000152669103232,1.2129759406924283,1.0113101754331706,1.021559053870943,1.0301504256471203,1.0174639296044132,1.0372151834090948,1.012360469421504
2015-07-31,1.0586298673655676,1.025178484569364,1.1132870759135356,1.063836410470826,1.2076061281856032,1.0516348252051495,1.0344649755968454,1.035421186183567,1.0539466305122465,1.0867735566158983,1.0496924443452318
2015-08-31,1.0011631916381594,0.974936250891623,1.0585024274711345,1.0055874583920077,1.100210515428171,1.0126484855514708,0.9789614295273079,0.9821362999654779,0.9946169987883267,1.0360534755265831,0.9893542908617509
2015-09-30,0.9721335285639241,0.9744664347334235,1.0299898222958848,0.9956460510993167,1.1047892342686862,0.997027456824204,0.952594706650637,0.9516088922107372,0.9882781397323926,1.0352569704110237,0.9853576756574938
2015-10-31,1.0421088001819467,1.0316720071807999,1.101173065383311,1.0607169529484606,1.2967481634699245,1.0979310075123496,1.0230020930552641,1.0302655542171035,1.0485147631486484,1.1474791153339978,1.0448555321349275
2015-11-30,1.0476680781234289,1.0306601702801237,1.1103015439402795,1.0626699850018384,1.1136014317469014,1.1090019756774643,1.0196841339761107,1.0258662603428212,1.0517378315874362,1.1344483928163316,1.0470576415038744
