date,net_exposure,gross_exposure,turnover,cost,n_holdings,effective_n,max_weight,entropy,unpriced_weight
2015-02-28,0.9999999999999957,0.9999999999999957,0.9999999999999957,0.0009999999999999957,84,39.36513027894125,0.0784195565268913,4.0197418158298195,0.0
2015-03-31,0.9999999999999959,0.9999999999999959,0.19827331763547362,0.00019827331763547362,84,42.02138931648338,0.0737956107952731,4.051918964264719,0.0
2015-04-30,0.9999999999999956,0.9999999999999956,0.1753388937353791,0.0001753388937353791,81,38.00922593961085,0.0837512080623181,3.995515361645139,0.0
2015-05-31,0.9999999999999954,0.9999999999999954,0.30580705725349233,0.0003058070572534923,84,42.71231462843457,0.064757062106879,4.035152410105425,0.0
2015-06-30,0.9999999999999959,0.9999999999999959,0.12816819071898627,0.00012816819071898627,84,44.65641619931974,0.0639986561171524,4.071270316120579,0.0
2015-07-31,0.9999999999999947,0.9999999999999947,1.4660856983519595,0.0014660856983519594,105,80.36846746065308,0.024462192556495,4.4892006746486794,0.0
2015-08-31,0.9999999999999947,0.9999999999999947,1.6043015449773137,0.0016043015449773137,109,56.37834293576502,0.0439214405983839,4.315097023392047,0.0
2015-09-30,0.9999999999999943,0.9999999999999943,0.17223846264212073,0.00017223846264212073,111,58.016344854560465,0.0420289030579194,4.322371178424035,0.0
2015-10-31,0.9999999999999949,0.9999999999999949,0.2508811946721794,0.0002508811946721794,100,55.56881036991039,0.0429464455837456,4.259738442072846,0.0
2015-11-30,0.9999999999999946,0.9999999999999946,0.3827098285590168,0.00038270982855901676,111,58.296701272748,0.0433447625108463,4.332632932918737,0.0
2015-12-31,0.9999999999999948,0.9999999999999948,0.27969787096105403,0.000279697870961054,108,53.22943883569099,0.0466307012493948,4.267010922954453,0.0
2016-01-31,0.9999999999999946,0.9999999999999946,0.5096215389944516,0.0005096215389944516,99,54.40595494765588,0.0528905304158272,4.249733604485333,0.0
2016-02-29,0.9999999999999951,0.9999999999999951,0.5033434465338045,0.0005033434465338046,104,48.8734862507175,0.050576609443546,4.192678316384953,0.0
2016-03-31,0.9999999999999952,0.9999999999999952,0.23398852339499654,0.00023398852339499653,103,51.5250143256755,0.0480853411592617,4.218086508905549,0.0
2016-04-30,0.9999999999999956,0.9999999999999956,0.700905196997919,0.000700905196997919,105,55.23056317614039,0.0375463473325863,4.255473261389356,0.0
2016-05-31,0.9999999999999941,0.9999999999999941,0.8217991741745095,0.0008217991741745096,117,58.17741113630746,0.054634540290849,4.376562549032974,0.0
2016-06-30,0.9999999999999952,0.9999999999999952,0.2850352927162184,0.00028503529271621845,115,55.811281135853356,0.0550280312585816,4.350018455866697,0.0
