date,equal_weight_gross,equal_weight_net,epo_gross,epo_net,ppp_gross,ppp_net,icc_mvo_ex_post_gross,icc_mvo_ex_post_net,proposed_historical_gross,proposed_historical_net,proposed_ex_post_gross,proposed_ex_post_net,proposed_historical_epo_n_gross,proposed_historical_epo_n_net,proposed_historical_ppp_n_gross,proposed_historical_ppp_n_net,proposed_ex_post_msr_icc_n_gross,proposed_ex_post_msr_icc_n_net,proposed_ex_post_icc_n_gross,proposed_ex_post_icc_n_net,proposed_ex_post_msr_gross,proposed_ex_post_msr_net,rf
2015-02-28,0.057366343504772446,0.056366343504772445,0.01612206926791706,0.015122069267917062,0.06443789396311583,0.06343789396311583,0.028955192541639103,0.027955192541639102,0.14823549400383967,0.14723549400383967,0.058468883330849916,0.057468883330849915,0.050930075793327784,0.04993007579332778,0.050609704383741926,0.049609704383741925,0.04339944200153553,0.04239944200153554,0.06779634214819202,0.06679634214819202,0.043516593120301705,0.04251659312030171,0.0
2015-03-31,-0.012652689301681754,-0.01269580250637998,-0.00881309840658721,-0.009196385989389594,-0.016592611678634767,-0.01679088499627024,0.0002111164374751992,0.0002111164374751992,0.07459258290083888,0.07459258290083888,-0.008260438169348386,-0.008260438169348386,-0.02182705249303589,-0.02182705249303589,-0.02176669672762198,-0.02176669672762198,-0.008890588262867358,-0.008890588262867358,-0.00631418432924787,-0.00631418432924787,-0.009785962493324949,-0.009785962493324949,0.0
2015-04-30,0.005385058278079297,0.005358505566055189,-0.03304756912929967,-0.033380655742953846,0.05265733673070647,0.052481997836971085,-0.02641886144441556,-0.026735293488250947,-0.025468228436296217,-0.02546822843629622,-0.033649760978107575,-0.034489659091012655,0.003736901626858227,0.003274086357798317,0.00715040371235442,0.006976791133284835,-0.009826031641545729,-0.010098337384750196,-0.015290053429158484,-0.015366068779680744,-0.011892585126302022,-0.012175133115434864,0.0
2015-05-31,0.010086660111707172,0.009994279070240007,0.0322151090504896,0.03168725068777834,-0.0003871773138036426,-0.0006929843710571349,0.01780405288510968,0.01780405288510968,0.08234711789066343,0.08234711789066343,0.013829436373843703,0.013829436373843703,0.011653421704830478,0.011653421704830478,0.014936802651128374,0.014936802651128374,0.01430817991440921,0.01430817991440921,0.01633319541582636,0.01633319541582636,0.013439546251403789,0.013439546251403789,0.0
2015-06-30,-0.018860341687005705,-0.018896399178222046,-0.01852035082324332,-0.018843353060751127,-0.010520128150064539,-0.010648296340783524,-0.018014023278794113,-0.018014023278794113,-0.06718997352640052,-0.06718997352640052,-0.014861446320308629,-0.014861446320308629,-0.019977372242063765,-0.019977372242063765,-0.01831556952007899,-0.01831556952007899,-0.01915299615125092,-0.01915299615125092,-0.022251071576246135,-0.022251071576246135,-0.02040779222773236,-0.02040779222773236,0.0
2015-07-31,0.018917063658895852,0.018881937976337766,0.04209625828782769,0.04172175808286491,0.024723313797573265,0.023257228099221306,0.06414323415663487,0.06367402031201372,-0.004426973632931116,-0.004426973632931121,0.04042912610598834,0.03987367155156608,0.012866811601987046,0.012633554249260959,0.006144791212530118,0.005116496004101282,0.03622710332886095,0.03585650542129545,0.04792820642563164,0.04778022342858125,0.037295821554907765,0.03687616817462295,0.0
2015-08-31,-0.05391315016107113,-0.05428401134233616,-0.04835410631277708,-0.04900827946935081,-0.04760551111492996,-0.04920981265990727,-0.054753674066334045,-0.054753674066334045,-0.08893264968669158,-0.08893264968669158,-0.03707212686311846,-0.03707212686311846,-0.0536543501992555,-0.0536543501992555,-0.05146203972751466,-0.05146203972751466,-0.056292823570282695,-0.056292823570282695,-0.046670330521523126,-0.046670330521523126,-0.057481745065925655,-0.057481745065925655,0.0
2015-09-30,-0.028957845356999978,-0.028995935244817864,-0.00019861063345450857,-0.00048189423438678555,-0.02676450200697497,-0.026936740469617092,-0.009886168736220995,-0.009886168736220995,0.004161675221521828,0.004161675221521828,-0.015425914273460715,-0.015425914273460715,-0.026933362317861795,-0.026933362317861795,-0.03108265905232674,-0.03108265905232674,-0.006373165815239612,-0.006373165815239612,-0.0007687876488754941,-0.0007687876488754941,-0.004039619821910268,-0.004039619821910268,0.0
2015-10-31,0.07203184595266632,0.07198113177044008,0.059001821989389844,0.05870450782948288,0.06936150884025026,0.06911062764557808,0.06613833392194596,0.06535545616567,0.175751629041086,0.173751629041086,0.10222003617698772,0.10120438509241274,0.07442096390969367,0.07391116695596875,0.08344583426064983,0.08265650168908642,0.06146001776889394,0.060951083500204485,0.10875499908317009,0.10840027947690997,0.060858783308868014,0.060381989146969406,0.0
2015-11-30,0.005416073630202717,0.005334642544532432,-0.0006078454379388102,-0.0009807738250464757,0.00867248628961946,0.008289776461060444,0.001841237709974311,0.001841237709974311,-0.14123538932412824,-0.14123538932412824,0.010083482558889358,0.010083482558889358,-0.0032433551228073457,-0.0032433551228073457,-0.004270058196428087,-0.004270058196428087,0.0030739371080565924,0.0030739371080565924,-0.011355956150777734,-0.011355956150777734,0.0021075730579206346,0.0021075730579206346,0.0
