,equal_weight,epo,ppp,icc_mvo_ex_post,icc_mvo_ex_post_qu,proposed_historical,proposed_ex_post,proposed_historical_epo_n,proposed_historical_ppp_n,proposed_ex_post_msr_icc_n,proposed_ex_post_qu_icc_n,proposed_ex_post_icc_n
ann_return,0.11493560540763559,0.08046381680113446,0.09877272780962065,0.16620393474366568,0.16501483347037427,0.09307673159168628,0.41195205697322423,0.12185670863749887,0.1254840536745916,0.1526060947533252,0.2476906533539298,0.24724425729079758
ann_vol,0.16405506838602377,0.13551706306334443,0.18295443770886186,0.14227439449889473,0.14852629639450382,0.2591494874220689,0.29276681600291843,0.15693955689918326,0.16333711153772407,0.1437176524461367,0.1702033059298548,0.16994281818743737
max_drawdown,0.2719251690920219,0.23478765328759865,0.3460910257064571,0.25846840420505435,0.2617206817540316,0.26970552830729555,0.2629310809355836,0.2519592469583901,0.2459387724653852,0.2008688145365256,0.19985152993683786,0.1953370247900168
sharpe,0.6308138998944421,0.4982745416944533,0.5053481518273258,1.0239257727056243,0.9801199001000725,0.39651857796817663,1.2675702188359548,0.6909362700023992,0.6904355572277034,0.9310873444807417,1.2825279050321434,1.2820372119880956
sharpe_pval,,0.4122,0.2134,0.0246,0.046,0.3852,0.0026,0.6528,0.465,0.0002,0.0002,0.0002
ann_crra_ce,0.053244887477641,0.040344184834740116,0.0158352886216242,0.11557092514152756,0.10974805526268305,-0.039056347669353286,0.2129928625880435,0.06793363095538774,0.06581088152274317,0.10551357427620833,0.17814415920198634,0.1780758478507496
ann_turnover,0.853562387381201,4.758186289760903,5.21950069170436,2.9497010271635946,2.992848123631299,3.201503480950571,3.8177756630197286,1.9207911270536697,1.623608669250472,1.8959015411634248,1.279658008973602,1.257969065610347
avg_effective_n,281.68939393939394,72.58020437571506,80.13590156191317,22.00582437440232,21.429846107110272,1.410436007492891,1.9419964400164866,68.93255899698009,80.71804537626448,55.34820203103925,22.18051559537158,22.502792879686723
