date,net_exposure,gross_exposure,turnover,cost,n_holdings,effective_n,max_weight,entropy,unpriced_weight
2015-02-28,1.0000000000000018,1.0000000000000018,1.0000000000000018,0.0010000000000000018,6,4.922721805491722,0.2612378574251332,1.6534062419316868,0.0
2015-03-31,1.0000000000000016,1.0000000000000016,0.0,0.0,6,4.929776881532117,0.2625811481509311,1.6522237501177572,0.0
2015-04-30,1.000000000000003,1.000000000000003,0.8319216577885968,0.0008319216577885967,4,2.9426838382976586,0.4398473824334065,1.1476129710457448,0.0
2015-05-31,1.0000000000000033,1.0000000000000033,0.0,0.0,4,2.8963653244749494,0.45330207077761697,1.1389212689203467,0.0
2015-06-30,1.000000000000003,1.000000000000003,0.0,0.0,4,2.8867450692032146,0.4564599426624851,1.1370177859844295,0.0
2015-07-31,1.0000000000000022,1.0000000000000022,0.6226184520518773,0.0006226184520518773,5,4.444393505810089,0.263387108262794,1.5330602041310417,0.0
2015-08-31,1.0000000000000022,1.0000000000000022,0.0,0.0,5,4.459735668489407,0.26979436034670506,1.5356689159889996,0.0
2015-09-30,1.0000000000000022,1.0000000000000022,0.0,0.0,5,4.4432681930347,0.2785348624292401,1.5336316408205706,0.0
2015-10-31,1.000000000000002,1.000000000000002,2.0000000000000018,0.0020000000000000018,1,1.0000000000000049,0.9999999999999996,9.777696104666785e-14,0.0
2015-11-30,1.0000000000000013,1.0000000000000013,0.0,0.0,1,1.0000000000000036,0.9999999999999996,7.848560001572731e-14,0.0
2015-12-31,1.0000000000000013,1.0000000000000013,0.0,0.0,1,1.0000000000000036,0.9999999999999996,7.871234964400219e-14,0.0
2016-01-31,1.0000000000000027,1.0000000000000027,3.2770910363661438e-15,3.277091036366144e-18,1,1.0000000000000058,0.9999999999999998,1.1229424513638133e-13,0.0
2016-02-29,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000056,0.9999999999999999,1.1077084972448244e-13,0.0
2016-03-31,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000058,0.9999999999999998,1.1069395603234084e-13,0.0
2016-04-30,1.000000000000002,1.000000000000002,2.000000000000001,0.002000000000000001,1,1.0000000000000056,0.9999999999999992,1.0749815926323908e-13,0.0
2016-05-31,1.0000000000000018,1.0000000000000018,0.0,0.0,1,1.0000000000000053,0.9999999999999991,1.0226707537038437e-13,0.0
2016-06-30,1.0000000000000018,1.0000000000000018,0.0,0.0,1,1.0000000000000058,0.9999999999999989,1.11937240032309e-13,0.0
2016-07-31,1.0000000000000024,1.0000000000000024,2.0000000000000013,0.0020000000000000013,1,1.0000000000000049,1.0,8.999990276582812e-14,0.0
2016-08-31,1.0000000000000024,1.0000000000000024,0.0,0.0,1,1.0000000000000049,1.0,9.082368147266388e-14,0.0
2016-09-30,1.0000000000000024,1.0000000000000024,0.0,0.0,1,1.0000000000000049,1.0,9.828570274374044e-14,0.0
2016-10-31,1.0000000000000022,1.0000000000000022,3.718902067721905e-15,3.7189020677219046e-18,1,1.0000000000000044,1.0,8.912968718762064e-14,0.0
2016-11-30,1.000000000000002,1.000000000000002,0.0,0.0,1,1.000000000000004,1.0,8.108509280144982e-14,0.0
2016-12-31,1.0000000000000016,1.0000000000000016,0.0,0.0,1,1.0000000000000036,0.9999999999999998,7.979339783294781e-14,0.0
2017-01-31,1.0000000000000029,1.0000000000000029,4.778326675874647e-15,4.7783266758746464e-18,1,1.0000000000000073,0.9999999999999992,1.425981392592527e-13,0.0
2017-02-28,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000069,0.9999999999999992,1.367678179993418e-13,0.0
2017-03-31,1.0000000000000024,1.0000000000000024,0.0,0.0,1,1.0000000000000069,0.999999999999999,1.3647416696043375e-13,0.0
2017-04-30,1.0000000000000022,1.0000000000000022,5.412563121612968e-15,5.412563121612968e-18,1,1.0000000000000044,1.0,9.972282353781156e-14,0.0
2017-05-31,1.0000000000000024,1.0000000000000024,0.0,0.0,1,1.0000000000000049,1.0,9.716578008141592e-14,0.0
2017-06-30,1.000000000000002,1.000000000000002,0.0,0.0,1,1.000000000000004,1.0,9.226185003933742e-14,0.0
2017-07-31,1.0000000000000029,1.0000000000000029,4.545696587262178e-15,4.545696587262178e-18,1,1.0000000000000058,1.0,1.1748463818576085e-13,0.0
2017-08-31,1.000000000000003,1.000000000000003,0.0,0.0,1,1.0000000000000062,1.0,1.1988310976939066e-13,0.0
2017-09-30,1.0000000000000029,1.0000000000000029,0.0,0.0,1,1.0000000000000058,1.0,1.151402350097726e-13,0.0
2017-10-31,1.0000000000000033,1.0000000000000033,5.27052809165389e-15,5.2705280916538906e-18,1,1.0000000000000067,1.0,1.2746511117588411e-13,0.0
2017-11-30,1.0000000000000033,1.0000000000000033,0.0,0.0,1,1.0000000000000067,1.0,1.2675686513917555e-13,0.0
2017-12-31,1.0000000000000036,1.0000000000000036,0.0,0.0,1,1.000000000000007,1.0,1.363458373903344e-13,0.0
2018-01-31,1.0000000000000024,1.0000000000000024,4.594839036178748e-15,4.594839036178748e-18,1,1.0000000000000049,1.0,9.695384084179448e-14,0.0
2018-02-28,1.0000000000000024,1.0000000000000024,0.0,0.0,1,1.0000000000000049,1.0,9.703073158260854e-14,0.0
2018-03-31,1.000000000000002,1.000000000000002,0.0,0.0,1,1.000000000000004,1.0,8.973737156614835e-14,0.0
2018-04-30,1.0000000000000027,1.0000000000000027,3.5471092846605653e-15,3.547109284660565e-18,1,1.0000000000000053,1.0,1.059750785119236e-13,0.0
2018-05-31,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000053,1.0,1.1312104344313144e-13,0.0
2018-06-30,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000053,1.0,1.0443474620364957e-13,0.0
2018-07-31,1.0000000000000027,1.0000000000000027,4.053350659371054e-15,4.053350659371054e-18,1,1.0000000000000053,1.0,1.0499088688770075e-13,0.0
2018-08-31,1.0000000000000022,1.0000000000000022,0.0,0.0,1,1.0000000000000044,1.0,9.522582882409735e-14,0.0
2018-09-30,1.0000000000000022,1.0000000000000022,0.0,0.0,1,1.0000000000000044,1.0,9.677315287871753e-14,0.0
2018-10-31,1.000000000000003,1.000000000000003,3.887290071563388e-15,3.887290071563389e-18,1,1.0000000000000062,1.0,1.1359272740533361e-13,0.0
2018-11-30,1.0000000000000033,1.0000000000000033,0.0,0.0,1,1.0000000000000062,1.0000000000000002,1.1705380749865086e-13,0.0
2018-12-31,1.000000000000003,1.000000000000003,0.0,0.0,1,1.0000000000000062,1.0,1.1307347003874784e-13,0.0
2019-01-31,1.0000000000000024,1.0000000000000024,4.604206924496601e-15,4.604206924496601e-18,1,1.000000000000006,0.9999999999999994,1.1633285747341785e-13,0.0
2019-02-28,1.0000000000000022,1.0000000000000022,0.0,0.0,1,1.000000000000006,0.9999999999999992,1.0701761651260646e-13,0.0
2019-03-31,1.0000000000000016,1.0000000000000016,0.0,0.0,1,1.0000000000000047,0.9999999999999992,1.0047294663854721e-13,0.0
2019-04-30,1.000000000000002,1.000000000000002,4.751098778270659e-15,4.751098778270659e-18,1,1.000000000000004,1.0,8.000540512872488e-14,0.0
2019-05-31,1.0000000000000018,1.0000000000000018,0.0,0.0,1,1.0000000000000036,1.0,7.727131027220922e-14,0.0
2019-06-30,1.0000000000000022,1.0000000000000022,0.0,0.0,1,1.000000000000004,1.0000000000000002,8.862994906685356e-14,0.0
2019-07-31,1.000000000000003,1.000000000000003,4.435349916586213e-15,4.435349916586213e-18,1,1.0000000000000062,1.0,1.191331838637187e-13,0.0
2019-08-31,1.0000000000000029,1.0000000000000029,0.0,0.0,1,1.0000000000000058,1.0,1.0597997282833983e-13,0.0
2019-09-30,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000053,1.0,9.53144231426321e-14,0.0
2019-10-31,1.0000000000000029,1.0000000000000029,4.053034365600374e-15,4.053034365600374e-18,1,1.0000000000000058,1.0,1.0646548168861092e-13,0.0
2019-11-30,1.0000000000000027,1.0000000000000027,0.0,0.0,1,1.0000000000000053,1.0,1.0214220043501641e-13,0.0
