ticker,reason
EL,multi_class_stock_no_shares_outstanding_tag
ERIE,multi_class_stock_no_shares_outstanding_tag
GHC,multi_class_stock_no_shares_outstanding_tag
HRL,multi_class_stock_no_shares_outstanding_tag
LEN,multi_class_stock_no_shares_outstanding_tag
META,multi_class_stock_no_shares_outstanding_tag
MKC,multi_class_stock_no_shares_outstanding_tag
NYT,multi_class_stock_no_shares_outstanding_tag
RL,multi_class_stock_no_shares_outstanding_tag
STZ,multi_class_stock_no_shares_outstanding_tag
TKO,multi_class_stock_no_shares_outstanding_tag
TSN,multi_class_stock_no_shares_outstanding_tag
TTD,multi_class_stock_no_shares_outstanding_tag
UA,multi_class_stock_no_shares_outstanding_tag
UAA,multi_class_stock_no_shares_outstanding_tag
UHS,multi_class_stock_no_shares_outstanding_tag
XYZ,multi_class_stock_no_shares_outstanding_tag
